endTime,artistName,trackName,msPlayed,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2022-08-31 18:07,Mac Quayle,3.5_1-alittlepush.ktp,258574,4PwtcevPwL7XxeKqUBT98C,0.168,0.173,2.0,-17.199,1.0,0.0349,0.848,0.906,0.363,0.0385,98.251,5.0
2022-08-31 18:11,HÆLOS,Kyoto,227829,13V2SZfT1qZruWCOjzV2Gk,0.735,0.558,6.0,-8.299,1.0,0.0307,0.0963,0.000801,0.274,0.467,116.016,4.0
2022-08-31 21:03,Modeā,Shine,1120,6GJYSPLEP0sjZzzpuiKIcx,0.682,0.962,1.0,-6.307,1.0,0.0486,0.00669,0.932,0.0521,0.454,135.938,4.0
2022-09-01 07:02,Röyksopp,The Night,14130,39OZpmsquWGSgs1Lt6BXr0,0.485,0.812,9.0,-9.519,1.0,0.0365,0.125,0.00778,0.792,0.148,115.032,4.0
2022-09-01 07:10,Röyksopp,The Night,458405,39OZpmsquWGSgs1Lt6BXr0,0.485,0.812,9.0,-9.519,1.0,0.0365,0.125,0.00778,0.792,0.148,115.032,4.0
2022-09-01 07:19,Genius Of Time,Peace Bird,518549,2JCs6WYjp39oLg3WaKQVvs,0.737,0.941,9.0,-9.636,0.0,0.0752,0.000727,0.925,0.825,0.153,127.032,4.0
2022-09-01 07:25,Aleksandir,Yamaha,388484,0gUmmTEdVp3w52gS1wlJOD,0.796,0.705,0.0,-10.636,1.0,0.0547,0.00225,0.856,0.093,0.225,109.993,4.0
2022-09-01 07:30,Chinaski,Fun House,306012,4LKipB4neinMa1jX2clQys,0.77,0.8,9.0,-10.405,0.0,0.0844,0.000446,0.929,0.0806,0.793,126.997,4.0
2022-09-01 07:37,Outcome,Aurora,56557,3QUpu6lilfFqc1onKygvtl,0.702,0.635,0.0,-8.887,1.0,0.0361,0.018,0.858,0.0948,0.0732,120.009,5.0
2022-09-01 07:38,Modeā,Shine,35140,6GJYSPLEP0sjZzzpuiKIcx,0.682,0.962,1.0,-6.307,1.0,0.0486,0.00669,0.932,0.0521,0.454,135.938,4.0
2022-09-01 07:43,Interelektrika,Harmonics - Iorie Remix,820,1Eelrfyd9cncbYHrlTKRrK,0.86,0.391,1.0,-12.296,1.0,0.0676,0.0023,0.861,0.086,0.142,118.999,4.0
2022-09-01 07:43,Pierre Daven-Keller,Champ magnétique,15131,2whlrDiAsxDytKh79CcLgl,0.576,0.667,9.0,-11.028,0.0,0.0311,0.0123,0.755,0.218,0.352,90.08,4.0
2022-09-01 07:43,Weval,Heartbreak Television,1770,6vDRTqBKkDE6waPCC3xRDV,0.672,0.394,1.0,-12.713,0.0,0.0313,0.696,0.567,0.127,0.649,118.981,4.0
2022-09-01 07:43,Undo,Call Me Tonight,285908,2Qr1hB8nrxBoInz8tl1Ybp,0.696,0.809,10.0,-6.026,0.0,0.0549,0.000117,0.818,0.101,0.271,110.007,4.0
2022-09-01 07:43,Alyne,Village People,980,6l876KhVtsN2lmRz37CMCo,0.602,0.794,7.0,-10.471,1.0,0.0358,0.00803,0.92,0.104,0.0361,120.012,4.0
2022-09-01 07:43,Röyksopp,Impossible - &ME Remix,1320,0TVcPTk3MMkT6WqkuatPSr,0.729,0.844,1.0,-9.153,1.0,0.043,0.115,0.936,0.0914,0.0688,121.023,4.0
2022-09-01 07:46,Charlie Powers,Can We Be,153750,2OqCuzRozWObsvArpLZ0Xy,0.334,0.659,9.0,-6.024,0.0,0.0314,0.0825,2.21e-06,0.374,0.297,99.605,3.0
2022-09-01 08:10,Petar Dundov,Around One,48970,4CkuYeUgX6NdJKe8j4327i,0.727,0.404,0.0,-12.948,0.0,0.0603,0.843,0.952,0.111,0.0397,119.987,4.0
2022-09-01 08:16,GHEIST,Arrival,394149,5wG02yXzXgPpaxbG2f3TEk,0.719,0.846,1.0,-8.826,0.0,0.0494,0.00011,0.955,0.046,0.15,123.006,4.0
2022-09-01 08:32,Phobium,Towards Proxima Centauri,914033,2vqnE3qQbUdMfK8Qa6G9kV,0.482,0.592,1.0,-9.649,1.0,0.0289,0.00424,0.896,0.0999,0.0458,101.007,4.0
2022-09-01 08:32,Lyves,Lyves X Synkro - Body Close,27537,3jmBXk1jmdyUMQPtN6tG8B,0.315,0.785,1.0,-6.15,1.0,0.174,0.0241,0.038,0.113,0.467,145.994,4.0
2022-09-01 08:40,Röyksopp,The Night,458405,39OZpmsquWGSgs1Lt6BXr0,0.485,0.812,9.0,-9.519,1.0,0.0365,0.125,0.00778,0.792,0.148,115.032,4.0
2022-09-01 08:43,Zimmer,Wildflowers,217986,5xl0p7WkEry8QAOxTs28kY,0.728,0.544,9.0,-7.848,0.0,0.0502,0.347,0.576,0.179,0.255,101.029,4.0
2022-09-01 08:47,Metro Boomin,10AM/Save The World - Instrumental,226333,64wSIBV7Dl5Hmnhfjfsv1U,0.674,0.383,8.0,-12.617,0.0,0.0416,0.195,0.217,0.213,0.347,135.974,4.0
2022-09-01 08:48,Santa Esmeralda,Don't Let Me Be Misunderstood,72474,7fQ1vMuK8rMEp1wcaE390x,0.786,0.711,2.0,-5.101,1.0,0.156,0.00461,0.339,0.0557,0.458,126.004,4.0
